gene	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KO	BiGG_Reactions	Annotation_tax_scope	Matching_Ogs	best_OG|evalue|score	COG_functional_categories	eggNOG_HMM_model_annotation
augustus_masked-NW_019167827.1-processed-gene-221.4-mRNA-1	29760.VIT_17s0000g04480.t01	4.4e-82	263.2			K09286		virNOG[6]	0IZJ1@euNOG,116A9@NOG,1BTHR@strNOG,1E5DE@virNOG	1E5DE|1.6e-86|290.4	S	AP2
augustus_masked-NW_019167827.1-processed-gene-221.8-mRNA-1	4113.PGSC0003DMT400046695	8.9e-84	271.3	WR3	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006950,GO:0008150,GO:0008509,GO:0009611,GO:0009987,GO:0010035,GO:0010167,GO:0015075,GO:0015103,GO:0015112,GO:0015698,GO:0015706,GO:0016020,GO:0022857,GO:0022891,GO:0022892,GO:0034220,GO:0042221,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071705,GO:0071944,GO:1901698,GO:1901700			virNOG[6]	0IYAK@euNOG,11P96@NOG,1BQZE@strNOG,1E2T4@virNOG	1E2T4|1.2e-48|166.1	G	Nitrate transporter
augustus_masked-NW_019167827.1-processed-gene-221.5-mRNA-1	3847.GLYMA05G07750.1	3.7e-94	303.6		GO:0001071,GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:2000112,GO:2001141			virNOG[6]	1BKJF@strNOG,1E2X4@virNOG,COG5150@NOG,KOG0871@euNOG	1E2X4|9e-91|304.3	K	Repressor protein
augustus_masked-NW_019167827.1-processed-gene-221.11-mRNA-1	29760.VIT_15s0046g03660.t01	3.2e-121	396.6			K13457		virNOG[6]	1BC0V@strNOG,1DPZC@virNOG,COG4886@NOG,KOG4658@euNOG	1DPZC|9.8e-160|534.4	T	disease resistance
augustus_masked-NW_019167827.1-processed-gene-221.14-mRNA-1	29760.VIT_17s0000g04330.t01	0.0	1236.0			K10401		virNOG[6]	1BDA5@strNOG,1DR7H@virNOG,COG5059@NOG,KOG0242@euNOG	1DR7H|0.0|1202.7	Z	KISc
augustus_masked-NW_019167827.1-processed-gene-221.16-mRNA-1	3694.POPTR_0015s09590.1	1.3e-233	766.8	OSI_04863				virNOG[6]	0IVX5@euNOG,0YC7W@NOG,1BINB@strNOG,1DWJJ@virNOG	1DWJJ|1.1e-182|610.5	S	NA
augustus_masked-NW_019167827.1-processed-gene-221.20-mRNA-1	3847.GLYMA17G13430.1	8.1e-189	616.2					virNOG[6]	1BH5X@strNOG,1DUI1@virNOG,COG2124@NOG,KOG0156@euNOG	1DUI1|2.3e-200|667.7	Q	cytochrome P450 71A1-like
augustus_masked-NW_019167827.1-processed-gene-221.21-mRNA-1	29760.VIT_17s0000g09500.t01	4.1e-254	835.2	AFC2	GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0006139,GO:0006396,GO:0006397,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0034641,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0046483,GO:0046777,GO:0071704,GO:0090304,GO:1901360	K08287,K08823		virNOG[6]	0XQF2@NOG,1BKX8@strNOG,1DUZE@virNOG,KOG0671@euNOG	1DUZE|1.4e-230|766.4	T	Serine threonine-protein kinase
augustus_masked-NW_019167827.1-processed-gene-221.17-mRNA-1	3694.POPTR_0015s09720.1	1.2e-84	277.1					virNOG[6]	1BEGP@strNOG,1DS3M@virNOG,COG2124@NOG,KOG0156@euNOG	1DS3M|8.7e-107|358.6	Q	cytochrome P450
augustus_masked-NW_019167827.1-processed-gene-221.12-mRNA-1	4081.Solyc03g114410.2.1	2.8e-34	109.1		GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009888,GO:0009892,GO:0009987,GO:0010033,GO:0010087,GO:0010467,GO:0010468,GO:0010605,GO:0010608,GO:0010629,GO:0014070,GO:0016070,GO:0016246,GO:0016441,GO:0016458,GO:0019222,GO:0030422,GO:0031047,GO:0031050,GO:0032502,GO:0034641,GO:0035194,GO:0035195,GO:0035196,GO:0040029,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043331,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0044699,GO:0044763,GO:0046483,GO:0048519,GO:0048856,GO:0050789,GO:0050896,GO:0051716,GO:0060255,GO:0065007,GO:0070878,GO:0070883,GO:0070887,GO:0070918,GO:0071310,GO:0071359,GO:0071407,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901698,GO:1901699	K13123		virNOG[6]	0Y3I1@NOG,1BDHC@strNOG,1DRET@virNOG,KOG2138@euNOG	1DRET|2.8e-39|135.9	A	G patch domain-containing protein
augustus_masked-NW_019167827.1-processed-gene-221.3-mRNA-1	3694.POPTR_0012s05430.1	1.4e-130	424.9		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008150,GO:0008219,GO:0009507,GO:0009526,GO:0009536,GO:0009941,GO:0009987,GO:0016265,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044763			virNOG[6]	0IHIP@euNOG,11K86@NOG,1BFQP@strNOG,1DRWY@virNOG	1DRWY|7.1e-116|387.1	S	Protein of unknown function (DUF3353)
augustus_masked-NW_019167827.1-processed-gene-221.2-mRNA-1	29760.VIT_17s0000g04540.t01	1.1e-126	414.0		GO:0000902,GO:0000904,GO:0003674,GO:0003824,GO:0004634,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0007275,GO:0008150,GO:0008152,GO:0008544,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009653,GO:0009888,GO:0009913,GO:0009987,GO:0010026,GO:0010090,GO:0016043,GO:0016829,GO:0016835,GO:0016836,GO:0030154,GO:0030855,GO:0032501,GO:0032502,GO:0032989,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043588,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0044767,GO:0048468,GO:0048513,GO:0048731,GO:0048856,GO:0048869,GO:0060429,GO:0071840	K01689		virNOG[6]	1BMXK@strNOG,1DV3W@virNOG,COG0148@NOG,KOG2670@euNOG	1DV3W|2.4e-115|387.7	G	enolase (EC 4.2.1.11)
augustus_masked-NW_019167827.1-processed-gene-221.1-mRNA-1	29760.VIT_14s0068g00730.t01	1.9e-34	109.3					virNOG[6]	0J04X@euNOG,0YRIU@NOG,1BR4V@strNOG,1E2Z3@virNOG	1E2Z3|1.1e-36|127.6	S	NA
augustus_masked-NW_019167827.1-processed-gene-221.19-mRNA-1	3847.GLYMA17G13430.1	1.3e-50	159.5					virNOG[6]	1BH5X@strNOG,1DUI1@virNOG,COG2124@NOG,KOG0156@euNOG	1DUI1|1.6e-50|173.3	Q	cytochrome P450 71A1-like
augustus_masked-NW_019167827.1-processed-gene-221.10-mRNA-1	4641.GSMUA_Achr9P18370_001	3.4e-30	95.5	CAS	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0007275,GO:0008150,GO:0009314,GO:0009416,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0009628,GO:0009639,GO:0009640,GO:0009704,GO:0009791,GO:0009987,GO:0010035,GO:0010038,GO:0010119,GO:0016020,GO:0031976,GO:0031984,GO:0032501,GO:0032502,GO:0034357,GO:0042221,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044707,GO:0044763,GO:0050789,GO:0050794,GO:0050896,GO:0051592,GO:0051716,GO:0055035,GO:0065007,GO:0070887,GO:0071241,GO:0071248,GO:0071277,GO:0090333			virNOG[6]	0IJ9R@euNOG,0TJW8@lilNOG,11GSH@NOG,1BMZ3@strNOG,1DZWQ@virNOG	1DZWQ|1.5e-28|101.2	S	Calcium sensing receptor
augustus_masked-NW_019167827.1-processed-gene-221.18-mRNA-1	4641.GSMUA_AchrUn_randomP24190_001	6.3e-27	86.2		GO:0005575,GO:0016020	K00512,K15472		virNOG[6]	0TTMT@lilNOG,1BFD4@strNOG,1DQGU@virNOG,COG2124@NOG,KOG0156@euNOG	1DQGU|1.1e-27|97.5	Q	cytochrome P450
augustus_masked-NW_019167827.1-processed-gene-222.7-mRNA-1	3694.POPTR_0015s09870.1	3.5e-264	869.9			K17890		virNOG[6]	0XQYA@NOG,1BDFQ@strNOG,1DRD6@virNOG,KOG0288@euNOG	1DRD6|2.2e-243|809.6	S	Autophagy protein 16 (ATG16)
augustus_masked-NW_019167827.1-processed-gene-222.12-mRNA-1	29760.VIT_06s0004g07450.t01	2.1e-134	440.1		GO:0005575,GO:0005576			virNOG[6]	0IKTY@euNOG,1BDNB@strNOG,1DRJJ@virNOG,COG3240@NOG	1DRJJ|1.3e-148|495.7	I	GDSL-motif lipase hydrolase family protein
augustus_masked-NW_019167827.1-processed-gene-222.2-mRNA-1	3694.POPTR_0012s09200.1	3.1e-113	367.3			K11294		virNOG[6]	0IQX9@euNOG,11MZ2@NOG,1C756@strNOG,1EM2D@virNOG	1EM2D|9.3e-137|456.4	A	31 kDa ribonucleoprotein
augustus_masked-NW_019167827.1-processed-gene-222.9-mRNA-1	3694.POPTR_0015s09930.1	3.7e-257	843.0		GO:0005575,GO:0016020	K01728		virNOG[6]	0IPFF@euNOG,1BP9I@strNOG,1E13S@virNOG,COG3866@NOG	1E13S|5.4e-260|862.8	G	Pectate lyase
augustus_masked-NW_019167827.1-processed-gene-222.10-mRNA-1	3694.POPTR_0015s09920.1	4.4e-170	554.2					virNOG[6]	0IRV7@euNOG,0YCVF@NOG,1C7A3@strNOG,1EM7B@virNOG	1EM7B|2.9e-177|590.1	K	- Bric-a-Brac, Tramtrack, Broad Complex BTB domain with TAZ zinc finger and Calmodulin-binding domains, expressed
augustus_masked-NW_019167827.1-processed-gene-222.1-mRNA-1	29760.VIT_17s0000g09650.t01	3.1e-164	532.8					virNOG[6]	0IGKE@euNOG,110V0@NOG,1C5AM@strNOG,1EJ29@virNOG	1EJ29|2.7e-170|568.5	S	Domain of unknown function (DUF1929)
augustus_masked-NW_019167827.1-processed-gene-222.13-mRNA-1	29760.VIT_17s0000g09980.t01	1.1e-161	529.0		GO:0000003,GO:0000902,GO:0003006,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006325,GO:0006464,GO:0006482,GO:0006996,GO:0007275,GO:0008150,GO:0008152,GO:0008214,GO:0009653,GO:0009719,GO:0009725,GO:0009741,GO:0009791,GO:0009826,GO:0009892,GO:0009987,GO:0010033,GO:0010228,GO:0010605,GO:0010639,GO:0014070,GO:0016043,GO:0016049,GO:0016568,GO:0016569,GO:0016570,GO:0016577,GO:0019222,GO:0019538,GO:0022414,GO:0031056,GO:0031057,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032989,GO:0033043,GO:0033044,GO:0033169,GO:0033993,GO:0035065,GO:0035067,GO:0036211,GO:0040007,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0044699,GO:0044707,GO:0044710,GO:0044763,GO:0044767,GO:0048366,GO:0048367,GO:0048519,GO:0048523,GO:0048589,GO:0048608,GO:0048731,GO:0048827,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051129,GO:0051246,GO:0051248,GO:0051276,GO:0060255,GO:0060560,GO:0061458,GO:0065007,GO:0070076,GO:0070988,GO:0071704,GO:0071840,GO:0080090,GO:0097305,GO:1901700,GO:1901983,GO:1901984,GO:1902275,GO:2000756,GO:2000757,GO:2001251			virNOG[6]	1BHMP@strNOG,1DVI0@virNOG,COG5048@NOG,KOG1246@euNOG,KOG1721@euNOG	1DVI0|6.5e-175|585.4	K	- C2H2 zinc finger protein, expressed
augustus_masked-NW_019167827.1-processed-gene-222.11-mRNA-1	29760.VIT_17s0000g09850.t01	9.6e-65	209.2	OSI_38012		K01376		virNOG[6]	0XTJE@NOG,1BHVT@strNOG,1DVS8@virNOG,KOG2433@euNOG	1DVS8|4.4e-60|205.0	O	UFM1-specific
augustus_masked-NW_019167827.1-processed-gene-222.0-mRNA-1	29760.VIT_17s0000g09650.t01	9.2e-85	270.5					virNOG[6]	0IGKE@euNOG,110V0@NOG,1C5AM@strNOG,1EJ29@virNOG	1EJ29|6e-88|296.5	S	Domain of unknown function (DUF1929)
augustus_masked-NW_019167827.1-processed-gene-222.6-mRNA-1	3847.GLYMA07G31961.1	6,00E-59	188.4	OSI_01259				virNOG[6]	0J275@euNOG,0YPZV@NOG,1BN7Z@strNOG,1E02V@virNOG	1E02V|2.6e-66|225.2	S	NA
augustus_masked-NW_019167827.1-processed-gene-222.5-mRNA-1	3694.POPTR_0012s09250.1	1.5e-29	91.3					virNOG[6]	0JIG8@euNOG,11E27@NOG,1BWA7@strNOG,1E8FE@virNOG	1E8FE|7.1e-33|114.7	S	Mitochondrial domain of unknown function (DUF1713)
augustus_masked-NW_019167827.1-processed-gene-222.15-mRNA-1	3847.GLYMA04G36470.1	1.6e-195	640.9		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	K16292		virNOG[6]	1BCIX@strNOG,1DQGP@virNOG,COG4870@NOG,KOG1543@euNOG	1DQGP|4.3e-187|622.2	O	cysteine
augustus_masked-NW_019167827.1-processed-gene-222.3-mRNA-1	3694.POPTR_0015s09770.1	2.6e-149	486.6		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464			virNOG[6]	0IIQZ@euNOG,11H5I@NOG,1BHDH@strNOG,1DWWG@virNOG	1DWWG|6.1e-142|473.1	S	Rhodanese-like domain
augustus_masked-NW_019167827.1-processed-gene-222.17-mRNA-1	3694.POPTR_0015s09990.1	3.2e-70	226.6		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009941,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464			virNOG[6]	1BF1D@strNOG,1DRP6@virNOG,COG0637@NOG,KOG2914@euNOG	1DRP6|3e-70|237.6	S	haloacid dehalogenase-like hydrolase family protein
augustus_masked-NW_019167827.1-processed-gene-222.14-mRNA-1	29760.VIT_17s0000g09690.t01	6.1e-131	426.0	PIMT1	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006970,GO:0007275,GO:0007568,GO:0008150,GO:0009628,GO:0009651,GO:0009719,GO:0009725,GO:0009737,GO:0009791,GO:0009845,GO:0010033,GO:0032501,GO:0032502,GO:0033993,GO:0042221,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044707,GO:0044767,GO:0050896,GO:0090351,GO:0097305,GO:1901700	K00573		virNOG[6]	1BCST@strNOG,1DQQM@virNOG,COG2518@NOG,KOG1661@euNOG	1DQQM|6.3e-126|420.2	O	Protein-l-isoaspartate O-methyltransferase
augustus_masked-NW_019167827.1-processed-gene-223.0-mRNA-1	3694.POPTR_0012s09390.1	0.0	1540.3		GO:0000003,GO:0000902,GO:0003006,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006325,GO:0006464,GO:0006482,GO:0006996,GO:0007275,GO:0008150,GO:0008152,GO:0008214,GO:0009653,GO:0009719,GO:0009725,GO:0009741,GO:0009791,GO:0009826,GO:0009892,GO:0009987,GO:0010033,GO:0010228,GO:0010605,GO:0010639,GO:0014070,GO:0016043,GO:0016049,GO:0016568,GO:0016569,GO:0016570,GO:0016577,GO:0019222,GO:0019538,GO:0022414,GO:0031056,GO:0031057,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0032989,GO:0033043,GO:0033044,GO:0033169,GO:0033993,GO:0035065,GO:0035067,GO:0036211,GO:0040007,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0044699,GO:0044707,GO:0044710,GO:0044763,GO:0044767,GO:0048366,GO:0048367,GO:0048519,GO:0048523,GO:0048589,GO:0048608,GO:0048731,GO:0048827,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051129,GO:0051246,GO:0051248,GO:0051276,GO:0060255,GO:0060560,GO:0061458,GO:0065007,GO:0070076,GO:0070988,GO:0071704,GO:0071840,GO:0080090,GO:0097305,GO:1901700,GO:1901983,GO:1901984,GO:1902275,GO:2000756,GO:2000757,GO:2001251			virNOG[6]	1BHMP@strNOG,1DVI0@virNOG,COG5048@NOG,KOG1246@euNOG,KOG1721@euNOG	1DVI0|0.0|1126.7	K	- C2H2 zinc finger protein, expressed
augustus_masked-NW_019167827.1-processed-gene-223.1-mRNA-1	29760.VIT_17s0000g10210.t01	0.0	1379.3	EMB2423		K11137		virNOG[6]	0XR2X@NOG,1BEY3@strNOG,1DSVZ@virNOG,KOG4346@euNOG	1DSVZ|0.0|1396.9	S	telomere length regulation protein
augustus_masked-NW_019167827.1-processed-gene-223.2-mRNA-1	29760.VIT_17s0000g10250.t01	1.5e-229	752.6		GO:0000502,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0016020,GO:0019538,GO:0030163,GO:0032991,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043234,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0071944,GO:1901575	K03037		virNOG[6]	1BGUN@strNOG,1DSKT@virNOG,COG5187@NOG,KOG0687@euNOG	1DSKT|3.9e-227|754.9	O	26S proteasome non-atpase regulatory subunit
augustus_masked-NW_019167827.1-processed-gene-223.4-mRNA-1	3694.POPTR_0015s10290.1	1.2e-124	405.9		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	K08869		virNOG[6]	1BHG7@strNOG,1DX3E@virNOG,COG0661@NOG,KOG1235@euNOG	1DX3E|1.2e-96|325.8	S	ABC1 family
augustus_masked-NW_019167827.1-processed-gene-223.3-mRNA-1	29760.VIT_17s0000g10260.t01	7.7e-121	393.3		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	K08869		virNOG[6]	1BHG7@strNOG,1DX3E@virNOG,COG0661@NOG,KOG1235@euNOG	1DX3E|1.2e-102|345.6	S	ABC1 family
augustus_masked-NW_019167827.1-processed-gene-223.5-mRNA-1	3694.POPTR_0015s10300.1	1.7e-35	111.2					virNOG[6]	0J7AC@euNOG,11ED6@NOG,1BWFM@strNOG,1E8MY@virNOG	1E8MY|2.7e-33|116.5	S	NA
augustus_masked-NW_019167827.1-processed-gene-223.6-mRNA-1	3847.GLYMA04G36725.1	0.0	3202.5		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K11000		virNOG[6]	0XQ8V@NOG,1BBV2@strNOG,1DPTS@virNOG,KOG0916@euNOG	1DPTS|0.0|3154.9	M	callose synthase
augustus_masked-NW_019167827.1-processed-gene-223.11-mRNA-1	3694.POPTR_0012s09540.1	1.9e-83	270.2	NDPK2	GO:0000302,GO:0003674,GO:0003824,GO:0004550,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006139,GO:0006165,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006979,GO:0007154,GO:0007165,GO:0007602,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009132,GO:0009165,GO:0009314,GO:0009411,GO:0009416,GO:0009507,GO:0009526,GO:0009532,GO:0009536,GO:0009570,GO:0009579,GO:0009581,GO:0009582,GO:0009583,GO:0009585,GO:0009605,GO:0009628,GO:0009639,GO:0009719,GO:0009725,GO:0009733,GO:0009734,GO:0009755,GO:0009941,GO:0009987,GO:0010017,GO:0010033,GO:0010035,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0023052,GO:0031967,GO:0031975,GO:0032870,GO:0034641,GO:0034654,GO:0042221,GO:0042542,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044700,GO:0044710,GO:0044763,GO:0046483,GO:0046939,GO:0050789,GO:0050794,GO:0050896,GO:0051606,GO:0051716,GO:0055086,GO:0065007,GO:0070887,GO:0071214,GO:0071310,GO:0071365,GO:0071478,GO:0071482,GO:0071489,GO:0071495,GO:0071704,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901576,GO:1901700	K00940		virNOG[6]	1BMNR@strNOG,1DSG8@virNOG,COG0105@NOG,KOG0888@euNOG	1DSG8|5.5e-83|278.9	F	nucleoside diphosphate kinase
augustus_masked-NW_019167827.1-processed-gene-223.10-mRNA-1	29760.VIT_17s0000g10240.t01	2.3e-113	367.9	OSI_35527				virNOG[6]	1BR3Z@strNOG,1E2Y6@virNOG,COG5160@NOG,KOG0779@euNOG	1E2Y6|5.3e-109|365.8	O	Ulp1 protease family protein
augustus_masked-NW_019167827.1-processed-gene-223.9-mRNA-1	3694.POPTR_0015s10220.1	4,00E-85	275.3		GO:0000228,GO:0000785,GO:0000790,GO:0000791,GO:0002097,GO:0002098,GO:0003156,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005719,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0007275,GO:0007389,GO:0008033,GO:0008150,GO:0008152,GO:0008283,GO:0009292,GO:0009294,GO:0009451,GO:0009653,GO:0009798,GO:0009887,GO:0009966,GO:0009987,GO:0010084,GO:0010467,GO:0010646,GO:0010928,GO:0016070,GO:0022603,GO:0023051,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032991,GO:0033588,GO:0034470,GO:0034641,GO:0034660,GO:0035265,GO:0040007,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043234,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044444,GO:0044446,GO:0044454,GO:0044464,GO:0044699,GO:0044707,GO:0044764,GO:0044767,GO:0046483,GO:0048513,GO:0048583,GO:0048731,GO:0048831,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0051239,GO:0051704,GO:0065001,GO:0065007,GO:0070013,GO:0071704,GO:0090304,GO:1900618,GO:1901360,GO:1901371,GO:2000024,GO:2000025,GO:2000026,GO:2000027	K07739		virNOG[6]	1BGV4@strNOG,1DURQ@virNOG,COG1243@NOG,KOG2535@euNOG	1DURQ|9e-74|249.7	B, K	elongator complex protein
augustus_masked-NW_019167827.1-processed-gene-223.8-mRNA-1	3694.POPTR_0012s09480.1	2.8e-71	226.6					virNOG[6]	0XRM0@NOG,1BY6X@strNOG,1EAPN@virNOG,KOG1039@euNOG	1EAPN|1.8e-72|244.8	O	RING
augustus_masked-NW_019167827.1-processed-gene-224.7-mRNA-1	29760.VIT_01s0010g02550.t01	1.9e-191	628.2		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	K08818		virNOG[6]	0XQ50@NOG,1BE74@strNOG,1DS52@virNOG,KOG0663@euNOG	1DS52|9e-226|752.9	T	Cyclin-dependent kinase
augustus_masked-NW_019167827.1-processed-gene-224.2-mRNA-1	3694.POPTR_0012s09580.1	2.4e-180	591.1		GO:0006950,GO:0006979,GO:0008150,GO:0050896			virNOG[6]	0IJJ7@euNOG,0YF07@NOG,1BKTN@strNOG,1DYPA@virNOG	1DYPA|2.6e-188|628.7	S	NA
augustus_masked-NW_019167827.1-processed-gene-224.10-mRNA-1	3694.POPTR_0015s10480.1	1.2e-270	889.1		GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005829,GO:0008150,GO:0010035,GO:0010038,GO:0016020,GO:0031090,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046686,GO:0050896	K01267		virNOG[6]	1BIPB@strNOG,1DSM8@virNOG,COG1362@NOG,KOG2596@euNOG	1DSM8|1.5e-262|872.4	E	aspartyl
augustus_masked-NW_019167827.1-processed-gene-224.9-mRNA-1	29760.VIT_13s0064g01540.t01	5.1e-108	353.1	OSI_22753	GO:0003674,GO:0003824,GO:0004338,GO:0004553,GO:0004565,GO:0008150,GO:0008152,GO:0008422,GO:0015925,GO:0015926,GO:0016787,GO:0016798,GO:0033907,GO:0047701,GO:0080083	K01188		virNOG[6]	1BGK6@strNOG,1DXC3@virNOG,COG2723@NOG,KOG0626@euNOG	1DXC3|2e-95|321.1	G	beta-glucosidase
augustus_masked-NW_019167827.1-processed-gene-224.0-mRNA-1	29760.VIT_01s0010g02320.t01	1.1e-31	99.0					virNOG[6]	0IVCG@euNOG,113FV@NOG,1BPPF@strNOG,1E1HH@virNOG	1E1HH|1.7e-37|130.0	S	Transferase family
augustus_masked-NW_019167827.1-processed-gene-224.3-mRNA-1	4081.Solyc03g111050.2.1	2,00E-40	128.9		GO:0000229,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005737,GO:0005829,GO:0009295,GO:0009507,GO:0009508,GO:0009532,GO:0009536,GO:0009570,GO:0042646,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464			virNOG[6]	0IF01@euNOG,0XTWN@NOG,1BICG@strNOG,1DTAM@virNOG	1DTAM|1.1e-29|104.6	S	NA
